Key,Source,Context,Changes,english,french,japanese
Chair,vehicles,item,EnChanged,Wooden Chair, Chaise En Bois,"椅子 (アクセス可能)"
Chair,vehicles,vehicle,EnChanged,Wooden Chair,Chaise En Bois,"椅子 (アクセス可能)"
Chair2,vehicles,item,EnChanged,Black Wooden Chair,Chaise Noir En Bois,"椅子2 (アクセス可能)"
Chair2,vehicles,vehicle,EnChanged,Black Wooden Chair,Chaise Noir En Bois,"椅子2 (アクセス可能)"
Chair3,vehicles,item,EnChanged,Wool Chair,Chaise En Laine,"椅子3 (アクセス可能)"
Chair3,vehicles,vehicle,EnChanged,Wool Chair,Chaise En Laine,"椅子3 (アクセス可能)"
Chair4,vehicles,item,EnChanged,Lounge Chair,Chaise de Salon,"椅子4 (アクセス可能)"
Chair4,vehicles,vehicle,EnChanged,Lounge Chair,Chaise de Salon,"椅子4 (アクセス可能)"
Chair5,vehicles,item,EnChanged,Western Chair,Chaise de Western,"ロッキングチェア (アクセス可能)"
Chair5,vehicles,vehicle,EnChanged,Western Chair,Chaise de Western,"ロッキングチェア (アクセス可能)"
Pouf,vehicles,item,EnChanged,Pouf,Pouf,"プフ (アクセス可能)"
Pouf,vehicles,vehicle,EnChanged,Pouf,Pouf,"プフ (アクセス可能)"
Shower,vehicles,item,EnChanged,Shower,Douche,"シャワー (アクセス可能)"
Shower,vehicles,vehicle,EnChanged,Shower,Douche,"シャワー (アクセス可能)"
PC,vehicles,item,EnChanged,PC,PC,"パソコン (アクセス可能)"
PC,vehicles,vehicle,EnChanged,PC,PC,"パソコン (アクセス可能)"
Food Table,vehicles,item,EnChanged,Food Table,Table à manger,"ダイニングテーブル (アクセス可能)"
Food Table,vehicles,vehicle,EnChanged,Food Table,Table à manger,"ダイニングテーブル (アクセス可能)"
Bath,vehicles,item,EnChanged,Bath,Bain,"バスタブ (アクセス可能)"
Bath,vehicles,vehicle,EnChanged,Bath,Bain,"バスタブ (アクセス可能)"
Jacuzzi,vehicles,item,EnChanged,Jacuzzi,Jacuzzi,"ジャグジー (アクセス可能)"
Jacuzzi,vehicles,vehicle,EnChanged,Jacuzzi,Jacuzzi,"ジャグジー (アクセス可能)"
Toilet,vehicles,item,EnChanged,Toilet,Toilettes,"トイレ (アクセス可能)"
Toilet,vehicles,vehicle,EnChanged,Toilet,Toilettes,"トイレ (アクセス可能)"
Superior Couch,vehicles,item,EnChanged,Superior Couch,Canapé,"ソファ (アクセス可能)"
Superior Couch,vehicles,vehicle,EnChanged,Superior Couch,Canapé,"ソファ (アクセス可能)"
Piano,vehicles,item,EnChanged,Piano,Piano,"ピアノ (アクセス可能)"
Piano,vehicles,vehicle,EnChanged,Piano,Piano,"ピアノ (アクセス可能)"
Bed,vehicles,item,EnChanged,Bed,Lit,"ベッド (アクセス可能)"
Bed,vehicles,vehicle,EnChanged,Bed,Lit,"ベッド (アクセス可能)"
Hammock,vehicles,item,EnChanged,Hammock,Hamac,"ハンモック (アクセス可能)"
